Symbol,Dollar_Symbol,Name
BIGZ,$BIGZ,BlackRock Innovation and Growth Term Trust Common Shares of Beneficial Interest
BIIB,$BIIB,Biogen Inc. Common Stock
BILI,$BILI,Bilibili Inc. American Depositary Shares
BILL,$BILL,BILL Holdings Inc. Common Stock
BIO,$BIO,Bio-Rad Laboratories Inc. Class A Common Stock
BIOX,$BIOX,Bioceres Crop Solutions Corp. Ordinary Shares
BIP,$BIP,Brookfield Infrastructure Partners LP Limited Partnership Units
BIPC,$BIPC,Brookfield Infrastructure Corporation 
BITF,$BITF,Bitfarms Ltd. Common Stock
BJ,$BJ,BJ's Wholesale Club Holdings Inc. Common Stock
BJRI,$BJRI,BJ's Restaurants Inc. Common Stock
